"Team","City","Stadium","Capacity","Founded","Joined"
"Doosan Bears","Seoul","Jamsil Baseball Stadium","25,000",1982,1982
"Hanwha Eagles","Daejeon","Hanwha Life Eagles Park","13,000",1985,1986
"Kia Tigers","Gwangju","Gwangju-Kia Champions Field","20,500",1982,1982
"Kiwoom Heroes","Seoul","Gocheok Sky Dome","16,744",2008,2008
"KT Wiz","Suwon","Suwon kt wiz Park","20,000",2013,2015
"LG Twins","Seoul","Jamsil Baseball Stadium","25,000",1982,1982
"Lotte Giants","Busan","Sajik Baseball Stadium","24,500",1975,1982
"NC Dinos","Changwon","Changwon NC Park","22,112",2011,2013
"Samsung Lions","Daegu","Daegu Samsung Lions Park","24,000",1982,1982
"SSG Landers","Incheon","Incheon SSG Landers Field","23,000",2000,2000
